city_name,Date,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
bealanana,1596065474,MG,-14.55,48.73,57.04,91,62,3.65
longyearbyen,1596065474,SJ,78.22,15.64,53.6,76,20,5.82
piranshahr,1596065474,IR,36.7,45.14,71.13,27,0,4.74
provideniya,1596065474,RU,64.38,-173.3,50.0,87,90,8.95
esperance,1596065447,AU,-33.87,121.9,46.4,87,0,16.11
orel-izumrud,1596065474,RU,43.46,39.92,69.8,83,1,6.71
manokwari,1596065475,ID,-0.87,134.08,82.6,67,41,3.0
alofi,1596065475,NU,-19.06,-169.92,75.2,64,75,16.11
plouzane,1596065475,FR,48.38,-4.62,59.0,93,15,5.82
kabanjahe,1596065475,ID,3.1,98.49,77.0,100,40,2.24
mattru,1596065475,SL,7.62,-11.83,72.82,95,99,3.94
iquitos,1596065297,PE,-3.75,-73.25,75.2,88,75,3.36
gornopravdinsk,1596065473,RU,60.05,69.9,47.26,78,26,3.22
calvinia,1596065476,ZA,-31.47,19.78,44.1,74,0,0.85
tomelloso,1596065476,ES,39.15,-3.02,71.01,67,0,8.01
butembo,1596065476,CD,0.15,29.28,56.82,89,20,2.86
yukon,1596065476,US,35.51,-97.76,91.4,62,97,17.22
svetlyy,1596065476,RU,54.67,20.13,59.0,82,40,8.95
boddam,1596065476,GB,57.47,-1.78,51.8,81,75,11.41
piacabucu,1596065476,BR,-10.41,-36.43,73.67,78,27,10.2
holoby,1596065477,UA,51.09,25.01,64.0,98,2,4.34
reconquista,1596065477,AR,-29.15,-59.65,43.29,64,0,6.8
bilma,1596065473,NE,18.69,12.92,92.46,19,72,1.61
nhulunbuy,1596065477,AU,-12.23,136.77,75.2,53,0,13.87
altay,1596065477,CN,47.87,88.12,64.4,49,90,2.44
moate,1596065477,IE,53.55,-7.72,57.99,94,100,11.01
luderitz,1596065456,NA,-26.65,15.16,57.2,67,0,6.93
iglesias,1596065477,IT,39.31,8.54,78.8,88,0,5.82
brazzaville,1596065477,CG,-4.27,15.28,75.2,69,67,7.63
bonavista,1596065465,CA,48.65,-53.11,53.01,83,43,3.0
kumba,1596065478,CM,4.64,9.45,71.26,94,100,0.83
adre,1596065478,TD,13.47,22.2,69.78,84,32,8.03
mujiayingzi,1596065478,CN,42.12,118.78,78.12,62,52,9.93
akhmim,1596065478,EG,26.56,31.75,89.6,27,0,5.82
poya,1596065478,NC,-21.35,165.15,78.15,69,14,7.4
khuzhir,1596065478,RU,53.19,107.34,56.52,90,64,5.5
vagay,1596065479,RU,57.94,69.02,47.43,83,46,2.33
linkou,1596065479,CN,45.3,130.28,74.07,70,73,5.95
neuquen,1596065479,AR,-38.95,-68.06,42.8,81,43,5.1
sao joao da barra,1596065479,BR,-21.64,-41.05,71.04,87,8,11.68
miri,1596065479,MY,4.41,114.01,75.2,100,40,1.12
umm kaddadah,1596065479,SD,13.6,26.69,78.87,67,87,16.22
kavaratti,1596065479,IN,10.57,72.64,82.26,78,100,16.15
olinda,1596065480,BR,-8.01,-34.86,78.8,69,75,17.22
saint-joseph,1596065480,RE,-21.37,55.62,66.2,82,20,6.93
mana,1596065478,GF,5.66,-53.78,79.43,84,90,10.6
armentieres,1596065480,FR,50.69,2.88,60.01,65,31,3.47
norman wells,1596065480,CA,65.28,-126.83,66.2,68,75,12.75
barentu,1596065480,ER,15.11,37.59,68.85,86,95,3.33
dolores,1596065480,AR,-36.31,-57.68,40.68,71,0,4.23
puri,1596065481,IN,19.8,85.85,82.4,94,20,3.36
anshun,1596065382,CN,26.25,105.93,65.16,98,70,2.15
puerto ayacucho,1596065481,VE,5.66,-67.62,82.4,74,40,6.93
huarmey,1596065481,PE,-10.07,-78.15,60.24,82,3,7.25
yago,1596065482,MX,21.83,-105.07,71.6,83,90,4.7
sechura,1596065482,PE,-5.56,-80.82,65.44,70,5,15.55
kosh-agach,1596065482,RU,50.0,88.67,50.2,73,100,5.03
aklavik,1596065482,CA,68.22,-135.01,59.0,72,75,6.93
hofn,1596065482,IS,64.25,-15.21,51.58,82,11,2.73
huaura,1596065482,PE,-11.07,-77.6,59.72,82,6,6.89
ponta do sol,1596065482,PT,32.67,-17.1,71.6,60,40,8.05
bathsheba,1596065483,BB,13.22,-59.52,82.4,83,40,18.34
druzhba,1596065483,UA,52.04,33.95,63.52,95,100,5.5
flin flon,1596065483,CA,54.77,-101.86,78.8,50,20,8.05
vladivostok,1596065304,RU,43.11,131.87,71.6,88,90,8.95
ferrandina,1596065483,IT,40.5,16.45,82.99,64,0,2.24
guarapari,1596065483,BR,-20.67,-40.5,75.99,83,20,1.12
maceio,1596065483,BR,-9.67,-35.74,71.6,88,75,11.41
daugai,1596065483,LT,54.37,24.33,57.2,82,17,5.82
kruisfontein,1596065484,ZA,-34.0,24.73,53.2,82,0,14.12
wagar,1596065484,SD,16.15,36.2,77.7,76,90,6.46
shirokiy,1596065484,RU,49.76,129.52,76.17,76,0,6.26
bandarbeyla,1596065484,SO,9.49,50.81,78.42,73,34,24.29
tromso,1596065484,NO,69.65,18.96,66.2,55,97,14.99
cabatuan,1596065484,PH,10.88,122.49,81.95,80,74,8.03
husavik,1596065484,IS,66.04,-17.34,50.0,81,81,2.24
shenjiamen,1596065484,CN,29.96,122.3,80.98,87,73,12.95
evensk,1596065485,RU,61.95,159.23,53.64,72,98,6.51
voskresenskoye,1596065485,RU,56.84,45.43,63.01,93,90,7.65
atar,1596065485,MR,20.52,-13.05,87.42,35,0,15.59
linjiang,1596065485,CN,41.81,126.91,70.54,86,100,2.28
camacha,1596065485,PT,33.08,-16.33,69.8,68,75,10.29
espera feliz,1596065485,BR,-20.65,-41.91,61.29,92,60,4.21
koslan,1596065485,RU,63.46,48.9,52.43,91,25,5.21
copiapo,1596065361,CL,-27.37,-70.33,53.6,81,40,13.87
qianjiang,1596065486,CN,30.42,112.89,80.47,89,86,4.43
soldotna,1596065395,US,60.49,-151.06,69.8,60,1,12.75
jalu,1596065486,LY,29.03,21.55,80.82,36,0,9.4
severo-kurilsk,1596065466,RU,50.68,156.12,56.82,79,97,13.82
strezhevoy,1596065486,RU,60.73,77.59,46.4,93,92,2.24
iskateley,1596065486,RU,67.68,53.15,46.78,88,51,6.82
borba,1596065487,BR,-4.39,-59.59,77.45,50,0,2.24
touros,1596065487,BR,-5.2,-35.46,73.4,94,40,4.7
kutum,1596065487,SD,14.2,24.67,74.75,69,84,8.32
jurado,1596065487,CO,7.11,-77.76,79.02,84,88,2.95
beian,1596065487,NO,63.66,9.57,57.2,87,75,10.29
moron,1596065450,AR,-34.65,-58.62,52.0,63,0,2.39
bulnes,1596065487,CL,-36.74,-72.3,41.0,93,100,3.36
san quintin,1596065487,MX,30.48,-115.95,73.09,67,0,15.61
matveyevka,1596065488,RU,52.15,56.18,53.6,81,37,2.24
fort nelson,1596065207,CA,58.81,-122.7,71.6,49,40,5.82
samarai,1596065485,PG,-10.62,150.67,76.71,83,97,16.17
abnub,1596065488,EG,27.27,31.15,86.0,42,0,11.41
berdigestyakh,1596065488,RU,62.1,126.7,62.47,69,0,3.76
micomeseng,1596065488,GQ,2.15,10.62,66.49,99,100,2.3
cruzeiro do oeste,1596065488,BR,-23.79,-53.07,58.8,70,84,5.26
henties bay,1596065488,NA,-22.12,14.28,55.99,90,0,7.05
bilibino,1596065489,RU,68.05,166.44,56.07,39,67,7.09
coari,1596065489,BR,-4.08,-63.14,77.52,57,29,2.28
leua,1596065489,SK,48.22,18.61,66.99,88,15,2.17
chipinge,1596065489,ZW,-20.19,32.62,51.87,79,0,2.75
nuevo progreso,1596065489,MX,23.17,-97.95,84.0,62,98,3.0
sembe,1596065489,CG,1.65,14.58,70.77,91,98,2.71
imeni poliny osipenko,1596065489,RU,52.42,136.49,81.34,73,16,7.2
viedma,1596065489,AR,-40.81,-63.0,43.7,61,84,9.78
akonolinga,1596065490,CM,3.77,12.25,65.89,98,90,3.62
lobito,1596065490,AO,-12.35,13.55,68.77,82,63,3.31
trelew,1596065490,AR,-43.25,-65.31,43.56,61,90,11.27
ipixuna,1596065490,BR,-1.76,-48.8,82.4,78,16,6.93
grand forks,1596065252,US,47.93,-97.03,80.6,44,75,5.82
corum,1596065491,TR,40.5,34.75,59.13,92,0,3.06
coleraine,1596065491,GB,55.13,-6.67,55.4,93,75,9.17
raudeberg,1596065491,NO,61.99,5.14,57.2,82,91,14.99
gangtok,1596065491,IN,27.33,88.62,66.87,81,100,1.05
parana,1596065492,AR,-31.73,-60.52,46.99,49,0,5.7
hudiksvall,1596065492,SE,61.73,17.1,54.0,98,4,5.01
mandalgovi,1596065492,MN,45.76,106.27,64.35,71,1,5.01
havre-saint-pierre,1596065492,CA,50.23,-63.6,59.0,93,90,11.41
felanitx,1596065492,ES,39.47,3.15,82.4,65,7,8.05
puerto madryn,1596065492,AR,-42.77,-65.04,46.27,56,94,18.86
bulungu,1596065493,CD,-4.55,18.6,75.7,46,1,1.03
coahuayana,1596065493,MX,18.73,-103.68,69.8,94,90,2.53
pyapon,1596065493,MM,16.28,95.68,79.83,86,100,4.74
mecca,1596065493,SA,21.43,39.83,86.47,52,83,3.36
mazagao,1596065486,BR,-0.12,-51.29,84.2,83,53,2.24
spornoye,1596065493,RU,50.84,37.29,73.4,64,100,11.18
anadyr,1596065493,RU,64.75,177.48,55.4,87,75,2.24
sakata,1596065494,JP,38.92,139.85,73.4,83,75,8.05
sassandra,1596065494,CI,4.95,-6.08,74.01,90,91,6.6
sitka,1596065494,US,57.05,-135.33,66.2,63,1,4.7
cockburn town,1596065416,TC,21.46,-71.14,82.78,80,4,23.8
ewa beach,1596065423,US,21.32,-158.01,87.8,45,75,9.17
namatanai,1596065494,PG,-3.67,152.43,84.88,68,45,5.77
mount gambier,1596065494,AU,-37.83,140.77,42.8,100,90,3.56
talnakh,1596065495,RU,69.49,88.4,57.2,71,60,8.95
la ronge,1596065495,CA,55.1,-105.28,86.0,42,75,8.05
steinkjer,1596065495,NO,64.19,11.39,59.0,72,99,13.0
kankaanpaa,1596065495,FI,61.8,22.42,54.0,93,99,6.93
santa luzia,1596065495,BR,-19.77,-43.85,73.4,40,67,4.7
torbay,1596065495,CA,47.67,-52.73,55.0,100,90,6.93
gamba,1596065495,GA,-2.65,10.0,72.18,80,41,6.26
sartell,1596065495,US,45.62,-94.21,79.0,54,40,4.7
parsabad,1596065496,IR,39.65,47.92,73.4,69,0,13.87
kieta,1596065496,PG,-6.22,155.63,86.29,62,87,2.42
cap malheureux,1596065496,MU,-19.98,57.61,70.0,78,36,4.0
dalbandin,1596065496,PK,28.89,64.41,82.56,20,71,4.25
narva-joesuu,1596065496,EE,59.46,28.04,55.9,87,21,11.81
sao sebastiao,1596065319,BR,-23.76,-45.41,66.15,87,100,6.93
pacific grove,1596065430,US,36.62,-121.92,71.01,60,1,6.93
warragul,1596065434,AU,-38.17,145.93,50.0,89,73,1.81
kenai,1596065497,US,60.55,-151.26,69.8,60,1,6.93
russell,1596065497,US,32.35,-85.2,80.6,83,75,10.29
tuatapere,1596065470,NZ,-46.13,167.68,54.55,70,100,7.99
manado,1596065497,ID,1.49,124.85,77.0,88,20,3.56
maunabo,1596065497,PR,18.01,-65.9,81.0,94,99,5.99
kabarnet,1596065417,KE,0.49,35.74,53.6,100,49,4.7
ramshir,1596065498,IR,30.89,49.41,95.0,53,0,4.03
beringovskiy,1596065498,RU,63.05,179.32,55.11,78,94,10.47
norden,1596065498,DE,53.6,7.2,57.2,67,75,4.7
lebu,1596065498,CL,-37.62,-73.65,44.76,74,100,3.42
trebinje,1596065433,BA,42.71,18.34,78.8,54,0,3.36
shubarshi,1596065498,KZ,48.59,57.19,73.18,40,98,5.32
isangel,1596065498,VU,-19.55,169.27,78.1,70,63,14.12
athabasca,1596065496,CA,54.72,-113.29,79.39,59,50,2.75
margate,1596065470,GB,51.38,1.39,62.01,63,85,1.01
ariquemes,1596065499,BR,-9.91,-63.04,81.37,43,35,3.04
malumfashi,1596065499,NG,11.79,7.62,74.17,86,36,9.86
gabane,1596065499,BW,-24.67,25.78,44.6,56,0,2.24
ashitkovo,1596065499,RU,55.44,38.59,66.2,88,40,4.47
sardhana,1596065499,IN,29.15,77.62,77.59,92,96,7.02
eleousa,1596065499,GR,39.71,20.79,73.99,77,0,2.24
ulaanbaatar,1596065500,MN,47.91,106.88,57.2,87,40,2.24
rudnogorsk,1596065500,RU,57.26,103.75,56.88,84,100,8.01
rio gallegos,1596065298,AR,-51.62,-69.22,33.8,86,86,8.05
inhambane,1596065500,MZ,-23.86,35.38,63.79,81,0,5.73
warwick,1596065260,US,41.7,-71.42,84.2,45,20,14.99
tiksi,1596065461,RU,71.69,128.87,39.99,86,100,8.46
kondinskoye,1596065500,RU,59.65,67.41,49.19,76,63,4.72
egvekinot,1596065500,RU,66.32,-179.17,47.95,95,100,2.77
addanki,1596065501,IN,15.82,79.98,82.49,77,100,5.08
xuddur,1596065501,SO,4.12,43.89,72.39,81,3,14.88
ati,1596065501,TD,13.22,18.34,79.23,72,96,19.89
wanning,1596065501,CN,18.8,110.4,84.22,74,53,3.18
bistret,1596065501,RO,43.9,23.5,73.99,78,0,5.82
san rafael,1596065501,AR,-34.62,-68.33,49.51,46,19,8.93
cooma,1596065501,AU,-36.23,149.13,37.4,100,90,9.17
boguchany,1596065240,RU,58.38,97.45,60.94,84,98,5.06
tilichiki,1596065501,RU,60.47,166.1,53.74,92,100,4.27
piranhas,1596065502,BR,-16.43,-51.82,75.43,43,62,0.83
birin,1596065502,NP,26.89,88.07,63.43,100,100,2.28
yelizovo,1596065502,RU,53.19,158.38,71.6,53,98,6.71
leh,1596065502,IN,34.17,77.58,58.84,47,67,0.78
aksu,1596065502,CN,41.12,80.26,71.42,38,21,2.26
port keats,1596065502,AU,-14.25,129.55,70.32,26,0,14.36
victor harbor,1596065503,AU,-35.57,138.62,48.0,92,37,2.44
knokke-heist,1596065503,BE,51.33,3.33,64.4,63,78,5.82
solone,1596065503,UA,48.21,34.87,72.0,64,8,2.13
kropotkin,1596065503,RU,45.44,40.58,68.7,69,0,4.85
smirnykh,1596065503,RU,49.75,142.83,79.79,65,33,0.27
adela,1596065503,PH,12.44,120.97,81.54,80,100,2.57
puerto escondido,1596065503,MX,15.85,-97.07,80.6,69,90,5.82
de-kastri,1596065503,RU,51.47,140.78,79.36,66,33,5.66
altamira,1596065504,BR,-3.2,-52.21,75.15,68,32,1.92
kotelnikovo,1596065504,RU,47.63,43.15,73.89,35,1,4.83
palmer,1596065504,US,42.16,-72.33,87.8,45,20,5.82
huamuxtitlan,1596065504,MX,17.82,-98.57,80.55,69,60,3.91
west plains,1596065345,US,36.73,-91.85,78.8,78,75,6.93
camacupa,1596065504,AO,-12.02,17.48,52.36,43,17,4.09
fethiye,1596065504,TR,36.62,29.12,75.2,83,0,4.7
sillod,1596065504,IN,20.3,75.65,75.25,88,100,4.52
harnosand,1596065505,SE,62.63,17.94,55.4,100,97,4.7
pisco,1596065505,PE,-13.7,-76.22,62.6,77,6,8.05
azul,1596065505,AR,-36.78,-59.86,39.83,71,23,5.01
barra do corda,1596065505,BR,-5.5,-45.25,79.9,53,64,1.39
sibolga,1596065505,ID,1.74,98.78,77.23,68,100,3.56
coquimbo,1596065505,CL,-29.95,-71.34,51.8,93,1,4.7
olafsvik,1596065456,IS,64.89,-23.71,50.99,83,87,5.93
progreso,1596065506,MX,21.28,-89.67,95.0,50,40,14.99
mezen,1596065506,RU,65.85,44.24,52.84,68,1,10.22
belyy gorodok,1596065506,RU,56.97,37.51,62.82,98,100,8.21
santander,1596065506,ES,43.46,-3.8,69.8,83,90,3.36
campos,1596065467,BR,-21.75,-41.3,69.73,87,27,9.66
bagdarin,1596065490,RU,54.43,113.6,63.99,91,100,1.54
porto santo,1596065506,PT,33.07,-16.34,69.8,68,75,10.29
usinsk,1596065506,RU,65.99,57.53,48.94,81,68,10.6
tual,1596065480,ID,-5.67,132.75,79.34,83,99,22.12
lyubech,1596065507,UA,51.7,30.66,61.97,96,50,7.16
jinji,1596065507,CN,23.23,110.83,82.27,79,100,1.19
shitkino,1596065507,RU,56.37,98.35,60.67,90,100,4.41
iranshahr,1596065507,IR,27.2,60.68,88.32,13,65,4.41
tiznit,1596065507,MA,29.58,-9.5,75.6,48,0,1.86
ban dung,1596065507,TH,17.7,103.26,84.99,88,20,3.36
scarborough,1596065419,GB,54.28,-0.4,52.0,76,100,5.39
asau,1596065508,RO,46.43,26.4,66.0,83,4,3.44
garwolin,1596065508,PL,51.9,21.61,62.01,87,25,3.38
prince rupert,1596065235,CA,54.32,-130.32,69.8,56,1,8.05
talkha,1596065508,EG,31.05,31.38,70.59,94,0,4.18
kununurra,1596065508,AU,-15.77,128.73,69.8,24,0,9.17
hjelset,1596065508,NO,62.78,7.48,59.0,82,98,8.05
alcaniz,1596065508,ES,41.05,-0.13,68.0,87,10,1.01
dali,1596065509,CN,25.7,100.18,63.73,85,99,3.49
mumford,1596065509,GH,5.26,-0.76,74.07,90,78,10.45
ust-kan,1596065509,RU,50.93,84.76,49.48,84,68,2.33
buin,1596065509,CL,-33.73,-70.75,68.0,38,0,3.36
luwuk,1596065416,ID,-0.95,122.79,76.14,83,100,7.74
los llanos de aridane,1596065459,ES,28.66,-17.92,73.4,78,90,14.99
yuli,1596065509,NG,9.7,10.27,73.62,92,70,5.7
boden,1596065509,SE,65.83,21.69,60.8,93,100,8.05
vardo,1596065509,NO,70.37,31.11,53.22,88,12,20.18
limbang,1596065510,MY,4.75,115.0,75.2,94,75,3.36
clovis,1596065402,US,36.83,-119.7,104.0,18,20,9.17
ampanihy,1596065510,MG,-24.7,44.75,60.53,96,18,4.99
agucadoura,1596065510,PT,41.43,-8.78,72.0,93,0,2.24
coihaique,1596065510,CL,-45.58,-72.07,35.6,74,99,5.82
waiouru,1596065510,NZ,-39.48,175.67,53.01,44,41,1.7
kushiro,1596065510,JP,42.98,144.37,68.0,82,40,3.36
huambo,1596065510,AO,-12.78,15.74,50.74,47,6,1.81
lluta,1596065511,PE,-16.01,-72.01,49.5,41,0,1.72
loa janan,1596065511,ID,-0.58,117.09,76.14,86,98,5.35
zalesovo,1596065511,RU,53.99,84.74,58.03,96,96,9.75
muskogee,1596065511,US,35.58,-95.33,86.0,74,75,8.05
puerto carreno,1596065511,CO,6.19,-67.49,82.4,74,40,6.93
lodja,1596065511,CD,-3.48,23.43,72.16,44,0,1.16
carlisle,1596065474,US,40.2,-77.19,90.0,44,3,3.0
rio rancho,1596065433,US,35.23,-106.66,97.0,17,40,10.29
winona,1596065484,US,43.97,-91.77,80.6,54,1,3.36
umm lajj,1596065512,SA,25.02,37.27,85.87,76,50,14.47
derzhavinsk,1596065512,KZ,51.1,66.32,62.01,72,0,3.56
qaqortoq,1596065512,GL,60.72,-46.03,53.6,71,37,5.82
ilulissat,1596065512,GL,69.22,-51.1,44.6,75,9,3.36
pabna,1596065512,BD,24.0,89.25,79.74,93,100,9.26
roma,1596065513,US,43.21,-75.46,73.4,83,75,4.7
mitsamiouli,1596065513,KM,-11.38,43.28,77.0,82,75,12.03
saldanha,1596065513,ZA,-33.01,17.94,46.4,87,0,2.24
punta alta,1596065513,AR,-38.88,-62.07,45.37,60,81,10.56
cavalcante,1596065320,BR,-13.8,-47.46,68.43,37,0,3.06
santa rosa,1596065513,PH,14.31,121.11,79.0,100,100,3.18
